repo,release,release_date,total_test_files,total_test_methods
keycloak,1.0-alpha-1-12062013,2013-12-06T11:00:32,30,144
keycloak,1.0-alpha-1,2014-01-23T12:54:52,32,157
keycloak,1.0-alpha-2,2014-02-19T23:06:38,38,197
keycloak,1.0-alpha-3,2014-03-12T18:07:24,38,206
keycloak,1.0-beta-1-20150521,2014-05-21T15:04:14,51,274
keycloak,1.0-beta-1-20150523,2014-05-23T06:27:16,51,274
keycloak,1.0-beta-1,2014-05-29T13:16:30,51,274
keycloak,1.0-beta-2,2014-06-02T13:22:40,51,274
keycloak,1.0-beta-3,2014-06-18T10:45:21,52,281
keycloak,1.0-beta-4,2014-08-05T21:58:28,53,333
keycloak,1.0-rc-1,2014-08-20T15:51:14,55,350
keycloak,1.0-rc-2,2014-09-01T05:14:35,54,360
keycloak,1.0-final,2014-09-10T11:04:48,54,364
keycloak,1.0.0.Final,2014-09-10T11:04:48,54,364
keycloak,1.0.1.Final,2014-09-18T08:24:54,55,371
keycloak,1.0.2.Final,2014-10-08T07:11:28,55,378
keycloak,1.0.3.Final,2014-10-27T11:02:36,56,386
keycloak,1.0.4.Final,2014-10-29T10:32:49,56,386
keycloak,1.1.0.Beta1,2014-11-04T19:15:57,62,431
keycloak,1.1.0.Beta2,2014-12-05T21:04:00,70,569
keycloak,1.0.5.Final,2015-01-22T15:04:46,57,387
keycloak,1.1.0.Final,2015-01-28T10:23:05,72,619
keycloak,1.2.0.Beta1,2015-04-02T08:23:12,90,734
keycloak,1.2.0.CR1,2015-05-05T06:42:11,98,839
keycloak,1.2.0.CR1-redhat-1,2015-05-12T08:15:29,90,774
keycloak,1.2.0.Final,2015-05-13T08:14:26,98,839
keycloak,1.1.1.Final,2015-05-20T02:13:14,72,619
keycloak,1.2.0.Final-redhat-1,2015-05-20T16:56:44,90,774
keycloak,1.2.0.Final-redhat-2,2015-05-21T13:40:21,90,774
keycloak,1.3.0.Final,2015-06-17T14:34:41,127,1025
keycloak,1.3.1.Final,2015-06-18T07:29:03,127,1025
keycloak,1.4.0.Final,2015-07-29T08:05:52,131,1077
keycloak,1.5.0.Final,2015-09-10T16:17:31,140,1144
keycloak,1.5.0.Final-redhat-1,2015-09-15T05:57:52,133,1084
keycloak,1.5.1.Final,2015-10-14T02:02:00,140,1147
keycloak,1.6.0.Final,2015-10-21T05:01:25,205,1608
keycloak,1.5.1.Final-redhat-1,2015-10-23T09:09:21,133,1087
keycloak,1.5.1.Final-redhat-2,2015-10-23T09:09:21,133,1087
keycloak,1.6.0.Final-redhat-1,2015-10-26T13:23:17,205,1608
keycloak,1.6.1.Final,2015-10-27T08:40:37,205,1613
keycloak,1.6.1.Final-redhat-1,2015-10-30T14:34:41,205,1613
keycloak,1.7.0.CR1,2015-12-03T11:16:00,231,1721
keycloak,1.7.0.CR1-redhat-1,2015-12-04T14:47:15,231,1721
keycloak,1.7.0.Final,2015-12-08T07:20:11,231,1721
keycloak,1.7.0.Final-redhat-1,2015-12-09T08:28:05,231,1721
keycloak,1.8.0.Alpha1,2015-12-13T17:54:39,239,1782
keycloak,1.8.0.CR1,2016-01-13T05:22:50,249,1856
keycloak,1.8.0.CR1-redhat-1,2016-01-15T12:45:16,249,1856
keycloak,1.8.0.CR1-redhat-2,2016-01-15T18:42:55,249,1856
keycloak,1.8.0.CR2,2016-01-21T05:08:07,249,1856
keycloak,1.8.0.CR2-redhat-1,2016-01-21T13:43:13,249,1856
keycloak,1.8.0.CR2-redhat-1-EAP-7,2016-01-22T08:03:04,249,1856
keycloak,1.8.0.CR3,2016-01-22T09:05:50,249,1856
keycloak,1.8.0.Final,2016-01-29T07:46:00,249,1856
keycloak,1.8.0.Final-redhat-1,2016-01-29T16:04:01,249,1856
keycloak,1.8.1.Final,2016-02-04T04:05:43,249,1856
keycloak,1.8.1.Final-redhat-1,2016-02-04T08:18:26,249,1856
keycloak,1.9.0.CR1,2016-02-04T11:17:43,263,1891
keycloak,1.9.0.CR1-redhat-1,2016-02-04T13:00:16,263,1891
keycloak,1.9.0.CR1-redhat-2,2016-02-11T12:23:51,263,1891
keycloak,1.9.0.Final,2016-02-23T15:50:05,292,2002
keycloak,1.9.0.Final-redhat-1,2016-02-26T12:08:45,292,2002
keycloak,1.8.2.Final,2016-03-01T08:41:31,249,1856
keycloak,1.8.2.Final-redhat-1,2016-03-01T10:46:50,249,1856
keycloak,1.9.1.Final,2016-03-09T10:12:26,312,2113
keycloak,1.9.2.Test,2016-04-14T04:16:56,350,2249
keycloak,1.9.2.Final,2016-04-14T10:33:01,350,2249
keycloak,1.9.3.Final,2016-04-28T12:14:56,383,2348
keycloak,1.9.4.Final,2016-05-09T03:29:52,394,2390
keycloak,1.9.5.Final,2016-05-26T14:12:20,397,2419
keycloak,1.9.6.Final,2016-06-01T11:34:02,397,2419
keycloak,1.9.7.Final,2016-06-03T06:59:06,399,2422
keycloak,1.9.8.Final,2016-06-13T11:39:19,399,2424
keycloak,2.0.0.CR1,2016-06-23T10:50:29,410,2470
keycloak,2.0.0.Final,2016-06-30T03:54:55,410,2470
keycloak,2.0.0.Test2,2016-07-06T09:48:30,410,2470
keycloak,2.1.0.CR1,2016-08-03T08:15:58,437,2657
keycloak,2.1.0.Final,2016-08-10T04:13:16,437,2657
keycloak,2.2.0.Test1,2016-08-26T04:27:09,447,2697
keycloak,2.2.0.CR1,2016-09-09T12:11:52,470,2746
keycloak,2.2.0.Final,2016-09-15T04:02:09,470,2746
keycloak,2.2.1.Final,2016-09-21T04:15:11,470,2746
keycloak,2.3.0.CR1,2016-10-21T02:12:37,487,2906
keycloak,2.3.0.Final,2016-10-26T03:59:27,487,2906
keycloak,2.4.0.Test,2016-11-18T05:21:56,497,2974
keycloak,2.4.0.CR1,2016-11-21T16:29:18,497,2975
keycloak,2.4.0.Final,2016-11-23T16:28:10,497,2975
keycloak,2.5.0.CR1,2016-12-22T02:34:53,541,3167
keycloak,2.5.0.Final,2017-01-03T10:18:34,541,3167
keycloak,2.5.1.Final,2017-01-26T02:17:37,555,3283
keycloak,2.5.2.Final,2017-01-27T05:26:44,555,3283
keycloak,2.5.3.Final,2017-01-30T11:19:35,555,3283
keycloak,2.5.4.Final,2017-02-22T15:42:32,556,3295
keycloak,2.5.5.Final,2017-03-14T07:31:05,562,3316
keycloak,3.0.0.CR1,2017-03-16T09:04:07,581,3502
keycloak,3.0.0.Final,2017-03-22T11:14:35,581,3502
keycloak,3.1.0.CR1,2017-04-27T11:09:48,630,3751
keycloak,3.1.0.Final,2017-05-03T02:45:14,630,3751
keycloak,3.1.1.Final-rhsso,2017-05-05T06:41:17,630,3751
keycloak,2.5.6.Final,2017-05-12T06:06:17,570,3360
keycloak,2.5.7.Final,2017-05-29T03:55:52,572,3385
keycloak,3.2.0.CR1,2017-06-30T05:01:33,679,3972
keycloak,3.2.0.Final,2017-07-05T02:31:21,679,3972
keycloak,3.2.0.Final-rhsso,2017-07-05T08:45:35,679,3972
keycloak,2.5.8.Final,2017-07-14T12:42:55,575,3404
keycloak,2.5.9.Final,2017-07-21T04:59:02,575,3404
keycloak,3.2.1.Final,2017-07-21T06:14:38,680,4004
keycloak,2.5.10.Final,2017-08-01T07:56:01,575,3404
keycloak,3.3.0.CR1,2017-08-28T10:52:06,681,4117
keycloak,3.3.0.CR2,2017-09-12T06:51:02,681,4117
keycloak,3.3.0.Final,2017-10-26T13:00:14,683,4120
keycloak,3.4.0.CR1,2017-11-08T09:07:06,695,4235
keycloak,3.4.0.Final,2017-11-13T07:37:09,695,4235
keycloak,3.4.1.CR1,2017-11-30T10:55:14,706,4328
keycloak,3.4.1.Final,2017-12-08T05:35:06,706,4328
keycloak,3.4.2.Final,2017-12-21T09:57:58,714,4434
keycloak,3.4.3.Final,2018-01-04T05:16:17,714,4436
keycloak,3.4.3.Final-2,2018-01-04T12:45:19,714,4436
keycloak,4.0.0.Beta1,2018-03-22T12:13:47,721,4532
keycloak,4.0.0.Beta2,2018-05-02T04:37:13,739,4589
keycloak,4.0.0.Beta3,2018-05-24T08:12:26,727,4594
keycloak,4.0.0.Final,2018-06-13T15:53:04,680,4654
keycloak,4.1.0.Final,2018-07-04T12:10:05,644,4489
keycloak,4.2.0.Final,2018-08-01T03:59:44,669,4560
keycloak,4.2.1.Final,2018-08-02T12:46:28,669,4560
keycloak,4.3.0.Final,2018-08-15T15:12:19,682,4585
keycloak,4.4.0.Final,2018-09-05T12:47:04,687,4638
keycloak,4.5.0.Final,2018-09-26T13:34:15,696,4733
keycloak,4.6.0.Tmp,2018-10-10T03:41:51,702,4821
keycloak,4.6.0.Final,2018-11-14T16:51:19,708,4898
keycloak,4.7.0.Final,2018-12-04T04:38:29,709,4921
keycloak,4.8.0.Final,2018-12-17T04:31:48,716,4958
keycloak,4.8.1.Final,2018-12-19T07:26:32,715,4960
keycloak,4.8.2.Final,2019-01-03T15:17:40,715,4962
keycloak,4.8.3.Final,2019-01-15T08:40:38,715,4962
keycloak,5.0.0,2019-03-06T06:49:13,715,4917
keycloak,6.0.0,2019-04-16T15:52:03,696,4552
keycloak,6.0.1,2019-04-24T03:22:09,697,4558
keycloak,7.0.0,2019-08-23T09:07:35,718,4795
keycloak,7.0.1,2019-10-16T06:08:46,721,4814
keycloak,8.0.0,2019-11-15T12:13:03,752,5105
keycloak,8.0.1,2019-12-02T07:05:41,752,5105
keycloak,8.0.2,2020-02-03T08:13:06,753,5117
keycloak,9.0.0,2020-02-17T08:14:06,785,5359
keycloak,9.0.2,2020-03-24T02:18:44,791,5490
keycloak,9.0.3,2020-03-27T10:12:16,792,5493
keycloak,10.0.0,2020-04-29T03:58:04,810,5612
keycloak,10.0.1,2020-05-08T05:18:04,810,5612
keycloak,10.0.2,2020-06-02T06:00:47,810,5608
keycloak,11.0.0,2020-07-22T05:59:17,838,5849
keycloak,11.0.1,2020-08-21T04:08:01,842,5865
keycloak,11.0.2,2020-08-31T03:55:32,842,5865
keycloak,11.0.3,2020-11-05T09:20:56,843,5879
keycloak,12.0.0,2020-12-16T09:02:56,872,6183
keycloak,12.0.1,2020-12-18T06:03:32,872,6183
keycloak,12.0.2,2021-01-18T09:25:10,874,6193
keycloak,12.0.3,2021-02-16T02:29:56,875,6202
keycloak,12.0.4,2021-03-01T03:38:22,875,6205
keycloak,13.0.0,2021-05-06T07:38:52,920,6578
keycloak,13.0.1,2021-05-25T05:24:42,921,6582
keycloak,14.0.0,2021-06-18T04:09:24,946,6821
keycloak,15.0.0,2021-07-30T07:38:45,965,7169
keycloak,15.0.1,2021-08-06T08:13:53,966,7175
keycloak,15.0.2,2021-08-20T04:09:43,966,7196
keycloak,15.1.0,2021-12-10T09:51:43,1002,7576
keycloak,15.1.1,2021-12-17T05:20:01,1002,7579
keycloak,16.0.0,2021-12-17T11:33:56,1024,7620
keycloak,16.1.0,2021-12-20T11:28:03,1024,7620
keycloak,16.1.1,2022-01-25T05:42:42,1024,7620
keycloak,17.0.0-6,2022-02-10T04:15:40,1056,7808
keycloak,17.0.0-2,2022-03-03T05:00:51,1064,7893
keycloak,17.0.0-3,2022-03-03T05:03:36,1064,7893
keycloak,17.0.0-4,2022-03-03T05:08:25,1064,7893
keycloak,17.0.0-5,2022-03-03T05:15:59,1064,7893
keycloak,17.0.0,2022-03-11T05:53:57,1070,7956
keycloak,17.0.1,2022-03-23T04:32:11,1057,7832
keycloak,18.0.0,2022-04-20T15:32:18,1085,8168
keycloak,18.0.1,2022-06-17T05:14:27,1090,8196
keycloak,18.0.2,2022-06-24T07:57:23,1090,8196
keycloak,19.0.0,2022-07-27T07:29:45,1114,8347
keycloak,19.0.1,2022-07-29T07:29:43,1115,8347
keycloak,19.0.2,2022-09-14T03:43:17,1120,8378
keycloak,19.0.3,2022-10-06T08:45:30,1120,8378
keycloak,20.0.0,2022-11-01T09:43:21,1127,8538
keycloak,20.0.1,2022-11-07T16:48:17,1127,8540
keycloak,20.0.2,2022-12-13T10:38:00,1127,8548
keycloak,20.0.3,2023-01-12T12:46:10,1123,8547
keycloak,20.0.4,2023-02-20T04:21:20,1123,8551
keycloak,20.0.5,2023-02-21T02:48:49,1123,8551
keycloak,21.0.0,2023-02-23T05:46:32,1060,8337
keycloak,21.0.1,2023-03-01T15:40:03,1060,8342
keycloak,21.0.2,2023-03-30T07:43:41,1060,8342
keycloak,21.1.0,2023-04-19T04:37:46,1077,8470
keycloak,21.1.1,2023-04-26T07:00:34,1078,8474
keycloak,21.1.2,2023-06-28T03:16:02,1080,8504
keycloak,22.0.0,2023-07-11T10:57:56,1091,8655
keycloak,22.0.1,2023-07-18T06:13:56,1091,8665
keycloak,22.0.2,2023-09-11T07:02:08,1094,8715
keycloak,22.0.3,2023-09-12T14:14:01,1094,8715
keycloak,22.0.4,2023-10-04T05:32:14,1095,8723
keycloak,22.0.5,2023-10-24T06:27:55,1097,8757
keycloak,23.0.0,2023-11-23T11:42:10,1095,8774
keycloak,23.0.1,2023-11-29T02:38:53,1095,8780
keycloak,22.0.6,2023-12-04T04:05:52,1097,8763
keycloak,22.0.7,2023-12-06T12:18:37,1102,8779
keycloak,23.0.2,2023-12-14T16:22:51,1096,8784
keycloak,23.0.3,2023-12-15T10:33:12,1096,8793
keycloak,22.0.8,2024-01-04T09:50:31,1102,8782
keycloak,23.0.4,2024-01-08T10:27:13,1097,8802
keycloak,23.0.5,2024-01-29T04:43:50,1098,8806
keycloak,23.0.6,2024-02-02T10:46:57,1098,8808
keycloak,23.0.7,2024-02-22T05:38:32,1098,8810
keycloak,22.0.9,2024-03-04T04:48:53,1105,8788
keycloak,24.0.0,2024-03-04T06:20:24,1139,9277
keycloak,24.0.1,2024-03-05T05:01:37,1139,9277
keycloak,24.0.2,2024-03-24T19:12:38,1139,9295
keycloak,22.0.10,2024-03-25T03:26:40,1107,8825
keycloak,24.0.3,2024-04-16T13:58:49,1143,9342
keycloak,24.0.4,2024-05-08T03:07:57,1144,9346
keycloak,22.0.11,2024-05-21T07:04:41,1108,8832
keycloak,24.0.5,2024-06-04T02:24:31,1144,9351
keycloak,25.0.0,2024-06-10T04:11:30,1116,9293
keycloak,25.0.1,2024-06-20T09:38:20,1116,9302
keycloak,24.0.6,2024-07-15T10:07:41,1144,9360
keycloak,25.0.2,2024-07-18T03:51:55,1117,9313
keycloak,25.0.3,2024-08-19T04:48:14,1098,8810
keycloak,25.0.4,2024-08-19T06:04:00,1117,9319
keycloak,25.0.5,2024-09-10T01:56:35,1117,9321
keycloak,22.0.12,2024-09-10T01:59:21,1108,8862
keycloak,24.0.7,2024-09-10T02:01:28,1144,9375
keycloak,25.0.6,2024-09-19T14:42:22,1118,9333
keycloak,22.0.13,2024-09-19T14:43:01,1108,8870
keycloak,24.0.8,2024-09-19T14:44:10,1144,9386
keycloak,26.0.0,2024-10-04T03:52:14,1157,9782
keycloak,26.0.1,2024-10-17T10:28:35,1158,9801
keycloak,26.0.2,2024-10-24T04:43:38,1158,9813
keycloak,26.0.3,2024-10-30T06:02:39,1159,9817
keycloak,26.0.4,2024-10-30T06:21:49,1159,9817
keycloak,26.0.5,2024-11-01T06:14:56,1159,9817
keycloak,26.0.6,2024-11-22T02:18:37,1160,9836
keycloak,24.0.9,2024-11-27T06:32:04,1147,9411
keycloak,26.0.7,2024-12-03T03:57:23,1163,9851
keycloak,26.0.8,2025-01-13T12:53:00,1164,9854
keycloak,26.1.0,2025-01-15T07:24:51,1211,10249
keycloak,26.0.9,2025-01-21T10:52:32,1164,9892
keycloak,26.1.1,2025-02-05T06:17:47,1211,10260
keycloak,26.1.2,2025-02-11T05:37:52,1211,10263
keycloak,24.0.10,2025-02-12T02:19:35,1147,9423
keycloak,26.1.3,2025-02-28T06:50:59,1211,10278
keycloak,26.0.10,2025-02-28T06:53:46,1164,9920
keycloak,26.1.4,2025-03-13T12:26:32,1211,10282
keycloak,26.1.5,2025-04-11T04:44:57,1211,10287
keycloak,26.2.0,2025-04-11T09:27:11,1260,10872
keycloak,26.2.1,2025-04-23T09:04:35,1262,10879
keycloak,26.0.11,2025-04-24T09:12:15,1164,9936
keycloak,26.2.2,2025-04-30T02:51:40,1262,10887
keycloak,26.2.3,2025-05-05T07:57:57,1264,10919
keycloak,26.2.4,2025-05-08T05:56:50,1264,10920
keycloak,26.0.12,2025-05-15T11:04:04,1164,9939
keycloak,26.2.5,2025-05-28T03:36:32,1264,10934
keycloak,26.3.0,2025-07-01T10:18:12,1271,11130
keycloak,26.3.1,2025-07-09T09:51:38,1271,11134
keycloak,26.0.13,2025-07-15T14:22:26,1164,9945
keycloak,26.2.6,2025-07-17T08:16:34,1265,10957
keycloak,26.3.2,2025-07-24T06:50:25,1271,11140
keycloak,26.0.14,2025-08-01T08:29:12,1164,9945
keycloak,26.2.7,2025-08-07T05:19:29,1265,10959
keycloak,26.3.3,2025-08-20T06:49:05,1272,11156
keycloak,26.2.8,2025-08-27T08:44:29,1265,10965
keycloak,26.0.15,2025-08-27T09:12:03,1164,9947
keycloak,26.3.4,2025-09-12T09:58:04,1273,11165
keycloak,26.2.9,2025-09-17T12:11:25,1266,10977
keycloak,26.3.5,2025-09-25T02:54:53,1273,11165
keycloak,26.4.0,2025-09-30T08:19:12,1378,11712
keycloak,26.0.16,2025-10-08T01:44:28,1165,9955
keycloak,26.2.10,2025-10-14T07:45:09,1268,10995
