repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
jeecgboot/JeecgBoot,3564499720,9043,sys_user  depart_ids为空,open,0,2025-10-29T06:01:48Z,2025-10-29T06:01:48Z,,code00Way,bug
jeecgboot/JeecgBoot,3560542336,9041,运行前端：pnpm dev出错,closed,1,2025-10-28T09:15:38Z,2025-10-28T10:40:35Z,2025-10-28T10:40:35Z,weishenwen,bug
jeecgboot/JeecgBoot,3560237837,9040,多租户模式，权限分配问题,open,0,2025-10-28T07:46:58Z,2025-10-28T07:46:58Z,,moumoukings,bug
jeecgboot/JeecgBoot,3559889102,9039,3.8.3-master分支：租户用户 菜单下 新增用户报错,closed,1,2025-10-28T05:29:34Z,2025-10-28T05:40:38Z,2025-10-28T05:40:38Z,Decade1993,bug
jeecgboot/JeecgBoot,3559206913,9038,JVxeTable表格点击行选择BUG,open,0,2025-10-28T00:24:21Z,2025-10-28T00:24:21Z,,q060831,bug
jeecgboot/JeecgBoot,3557612104,9037,FillRuleUtil如果在定时器里使用会因为找不到HttpServletRequest报错,closed,2,2025-10-27T16:28:01Z,2025-10-28T01:36:01Z,2025-10-28T01:29:18Z,uni-lovelDragon,bug
jeecgboot/JeecgBoot,3556866403,9036,online 表单开发， 设置字段 控件类型为开关时，查看详情页时 开关字段显示原始值,open,1,2025-10-27T13:43:34Z,2025-10-28T01:52:34Z,,liuling1314,bug
jeecgboot/JeecgBoot,3556516529,9035,没有创建表embeddings,closed,3,2025-10-27T12:22:53Z,2025-10-28T03:06:40Z,2025-10-28T03:05:26Z,ak-2019,bug
jeecgboot/JeecgBoot,3555934448,9034,无法启动，报错：init flow executor cause error for path el_xml,open,3,2025-10-27T09:48:21Z,2025-10-28T05:36:19Z,,iwqian,bug
jeecgboot/JeecgBoot,3555842880,9033,jveTable的某行下拉框变化时 可以赋值同行其他的数据吗 分支是master,open,0,2025-10-27T09:26:57Z,2025-10-27T09:30:24Z,,wujian19881215001,help wanted
jeecgboot/JeecgBoot,3554919122,9032,功能菜单“系统管理”-“部门管理”，用户列表中，编辑用户界面-用户账号为空,open,1,2025-10-27T03:39:50Z,2025-10-28T01:54:52Z,,tongyurui,bug
jeecgboot/JeecgBoot,3554912281,9031,3.8.3-master分支，ai工作流编排，直接回复节点没有流式响应的开关,open,1,2025-10-27T03:35:47Z,2025-10-28T01:55:27Z,,sxx412,bug
jeecgboot/JeecgBoot,3554905065,9030,功能菜单“系统管理”-“部门管理”，用户列表中，编辑用户界面，用户账号为空,closed,0,2025-10-27T03:31:32Z,2025-10-27T05:28:35Z,2025-10-27T05:28:35Z,tongyurui,bug
jeecgboot/JeecgBoot,3554869600,9029,使用jeecgboot3.8.3版本的AI知识库向量化时构建失败,closed,1,2025-10-27T03:12:51Z,2025-10-28T01:55:58Z,2025-10-28T01:55:44Z,tyd357,bug
jeecgboot/JeecgBoot,3554641110,9028,通知公告增加一个滚动的通知类型,open,0,2025-10-27T00:42:59Z,2025-10-27T00:44:23Z,,chenkaiq,help wanted
jeecgboot/JeecgBoot,3552138436,9027,3.8.3新建module模块，最后一步重新加载所有Maven项目失败,open,3,2025-10-25T08:48:22Z,2025-10-28T01:56:29Z,,Chasejet,bug
jeecgboot/JeecgBoot,3551527129,9026,官方站点上面的功能有接口报错,open,0,2025-10-25T02:14:37Z,2025-10-25T02:14:37Z,,chinarenkai,bug
jeecgboot/JeecgBoot,3548457363,9025,BaseModal中选择日期等下拉框出现显示问题,closed,2,2025-10-24T09:22:41Z,2025-10-28T02:37:57Z,2025-10-28T01:57:04Z,Stefanxx,bug
jeecgboot/JeecgBoot,3548436104,9024,知识库查询有重排序吗,closed,1,2025-10-24T09:16:50Z,2025-10-24T09:32:04Z,2025-10-24T09:32:04Z,yunfeng13,help wanted
jeecgboot/JeecgBoot,3547972186,9023,AI聊天提交图片进行问答报错,closed,2,2025-10-24T07:10:21Z,2025-10-27T02:55:53Z,2025-10-27T02:55:53Z,LeoFengFromChina,bug
jeecgboot/JeecgBoot,3544062685,9022,排序问题（列表查看和导出）,open,0,2025-10-23T10:19:02Z,2025-10-23T10:19:02Z,,yuanxu-xsmy,bug
jeecgboot/JeecgBoot,3543472086,9021,basicTable表格的自定义onSelect不执行,open,0,2025-10-23T07:17:35Z,2025-10-23T07:17:35Z,,mjlxiaoma,bug
jeecgboot/JeecgBoot,3542997007,9020,设置默认导航栏模式为“顶部混合导航”无效,open,2,2025-10-23T03:28:21Z,2025-10-25T15:02:07Z,,LeoFengFromChina,bug
jeecgboot/JeecgBoot,3542856377,9019,独立数据源配置问题,closed,2,2025-10-23T01:50:41Z,2025-10-23T02:59:32Z,2025-10-23T02:20:29Z,lihongxing,
jeecgboot/JeecgBoot,3542840149,9018,验证码重复使用漏洞,closed,0,2025-10-23T01:38:10Z,2025-10-23T01:45:06Z,2025-10-23T01:45:06Z,67sw9cyfsw-png,bug
jeecgboot/JeecgBoot,3540448489,9017,测试环境中a-date-picker日期组件无法正常使用,closed,3,2025-10-22T11:20:28Z,2025-10-24T09:13:49Z,2025-10-24T09:13:49Z,Lslands11,bug
jeecgboot/JeecgBoot,3540053707,9016,AI编辑页面回答乱码,closed,2,2025-10-22T09:45:01Z,2025-10-28T01:57:53Z,2025-10-28T01:57:53Z,zongxing719,bug
jeecgboot/JeecgBoot,3540006964,9015,InputGroup 无法获取两个Input的值,open,0,2025-10-22T09:34:42Z,2025-10-22T09:34:42Z,,yuanxu-xsmy,bug
jeecgboot/JeecgBoot,3539961045,9014,online 配置高级关联记录列表显示不正常,open,2,2025-10-22T09:24:57Z,2025-10-27T01:18:34Z,,stoneppy,bug
jeecgboot/JeecgBoot,3539691074,9013,使用了旧版本的JeecgBoot 3.6.3 已经到生产业务，想同步升级到JeecgBoot 3.8.3 该如何升级旧的工程以及开放jeecgboot二方库的源码,closed,2,2025-10-22T08:29:58Z,2025-10-22T13:42:36Z,2025-10-22T09:23:54Z,ZhanshiXiang,bug
jeecgboot/JeecgBoot,3539326834,9012,online在线表单不能够修改默认pageSizeOptions,closed,1,2025-10-22T06:37:39Z,2025-10-22T06:40:48Z,2025-10-22T06:40:48Z,yourslight,bug
jeecgboot/JeecgBoot,3539239986,9011,前端数据字典下拉菜单能查询的已经删除的数据，怎么处理最好？,closed,2,2025-10-22T06:01:42Z,2025-10-22T06:43:43Z,2025-10-22T06:41:15Z,HaoMaGit,help wanted
jeecgboot/JeecgBoot,3539044403,9010,前端数据字典下拉菜单能查出已经删除的数据,closed,2,2025-10-22T04:12:13Z,2025-10-22T05:54:24Z,2025-10-22T05:37:55Z,HaoMaGit,help wanted
jeecgboot/JeecgBoot,3535359867,9008,jeecg3.8.3 打war包部署到tongweb7 M9上遇到报错,open,2,2025-10-21T07:48:04Z,2025-10-28T10:05:18Z,,LRJFOX,bug
jeecgboot/JeecgBoot,3535102503,9007,OCR识别使用通义千问的图片理解模型报错,closed,5,2025-10-21T06:30:53Z,2025-10-27T02:55:55Z,2025-10-27T02:55:55Z,wang420520,bug
jeecgboot/JeecgBoot,3534555753,9006,本添加本地部署的千问模型报错：java.lang.UnsupportedOperationException,open,4,2025-10-21T02:07:18Z,2025-10-23T03:24:36Z,,LeoFengFromChina,bug
jeecgboot/JeecgBoot,3532096536,9003,前端安装依赖警告,closed,1,2025-10-20T11:29:43Z,2025-10-28T01:57:29Z,2025-10-28T01:57:29Z,sshling,bug
jeecgboot/JeecgBoot,3531408664,9002,jeecg单体程序版本下，springboot启动后，多数据源主从数据库发送变化,closed,0,2025-10-20T07:45:48Z,2025-10-20T08:15:49Z,2025-10-20T08:15:49Z,mhj429,bug
jeecgboot/JeecgBoot,3530694326,9000,Online报表（带参数）预览后台报错,open,4,2025-10-20T01:22:14Z,2025-10-20T01:43:11Z,,chivasan,bug
jeecgboot/JeecgBoot,3528332211,8999,online表单 数据库排序问题确认,open,0,2025-10-18T08:38:49Z,2025-10-18T08:38:49Z,,sshling,bug
jeecgboot/JeecgBoot,3524062979,8998,定时报表导出发送到邮件配置项,closed,3,2025-10-17T01:25:53Z,2025-10-17T05:58:01Z,2025-10-17T01:35:33Z,18516518583,bug
jeecgboot/JeecgBoot,3523970098,8997,特定条件下AI助手失去响应,closed,4,2025-10-17T00:26:22Z,2025-10-21T10:18:00Z,2025-10-21T10:18:00Z,chivasan,bug
jeecgboot/JeecgBoot,3522386390,8996,分类字典树报错：操作失败，No static resource sys/category/loadDictItem.,closed,2,2025-10-16T15:24:46Z,2025-10-20T07:42:09Z,2025-10-20T07:42:09Z,foxaicc,bug
jeecgboot/JeecgBoot,3521259214,8995,批量删除id错误,closed,3,2025-10-16T10:28:53Z,2025-10-21T07:47:12Z,2025-10-21T07:47:12Z,sshling,bug
jeecgboot/JeecgBoot,3520996192,8994,自定义根路径问题,closed,2,2025-10-16T09:09:23Z,2025-10-16T10:35:09Z,2025-10-16T10:35:09Z,youxiu03,bug
jeecgboot/JeecgBoot,3520850086,8993,代码生成关于uniapp/uniapp3的自定义,closed,1,2025-10-16T08:25:53Z,2025-10-16T09:00:02Z,2025-10-16T09:00:02Z,sshling,help wanted
jeecgboot/JeecgBoot,3520643301,8992,在线表单列表的自带按钮和自定义按钮的权限只能在online表单开发菜单配置和授权么？,closed,3,2025-10-16T07:19:48Z,2025-10-16T10:34:35Z,2025-10-16T09:02:27Z,tb2888,help wanted
jeecgboot/JeecgBoot,3520206324,8991,online表单开发 编辑弹窗 子表部分不显示导致 无法使用,closed,6,2025-10-16T03:49:18Z,2025-10-17T01:28:09Z,2025-10-17T01:28:09Z,cym1231,bug
jeecgboot/JeecgBoot,3520187186,8990,package.json里面添加type:module后启动报错,closed,2,2025-10-16T03:35:13Z,2025-10-16T06:05:51Z,2025-10-16T05:56:55Z,amorhe,bug
jeecgboot/JeecgBoot,3519291422,8989,"代码生成器不生成APP的代码了，如果views下再加一个目录,生成的UI不能自动到这个目录",closed,1,2025-10-15T19:25:07Z,2025-10-16T08:59:12Z,2025-10-16T08:59:12Z,lifeizhan,bug
jeecgboot/JeecgBoot,3517538560,8988,使用代码生成器，生树结构表格，生出来不是树,closed,7,2025-10-15T11:10:06Z,2025-10-17T09:40:19Z,2025-10-17T09:40:19Z,zwy66666,bug
jeecgboot/JeecgBoot,3517271571,8987,package.json文件里面添加type:module后启动报错,closed,2,2025-10-15T09:57:38Z,2025-10-15T10:08:39Z,2025-10-15T09:59:53Z,amorhe,bug
jeecgboot/JeecgBoot,3517172608,8986,macOS系统代码生成，无法选择本地路径，手动输入也不行,closed,0,2025-10-15T09:28:36Z,2025-10-15T10:08:25Z,2025-10-15T10:08:25Z,BigBrotherLiZhixian,bug
jeecgboot/JeecgBoot,3517143386,8985,不应该强制cas配置,closed,1,2025-10-15T09:20:21Z,2025-10-16T08:56:29Z,2025-10-16T08:56:28Z,sshling,bug
jeecgboot/JeecgBoot,3516963939,8983,mongodb连接不上,closed,1,2025-10-15T08:32:21Z,2025-10-15T10:01:08Z,2025-10-15T10:01:08Z,sshling,bug
jeecgboot/JeecgBoot,3516773686,8982,AI流程设计中目前是否支持开发者开发个人节点使用,closed,1,2025-10-15T07:38:45Z,2025-10-15T09:25:07Z,2025-10-15T09:25:07Z,eyeofcloud,help wanted
jeecgboot/JeecgBoot,3516338231,8981,Microsoft SQL Server 2008支持问题,closed,7,2025-10-15T04:58:21Z,2025-10-15T06:54:55Z,2025-10-15T06:47:51Z,rechardNerd,bug
jeecgboot/JeecgBoot,3516159286,8980,打包找不到jeecg-aiflow:pom:3.8.3.1,closed,1,2025-10-15T03:04:31Z,2025-10-15T03:08:33Z,2025-10-15T03:08:33Z,rechardNerd,bug
jeecgboot/JeecgBoot,3516010143,8979,@Execl注解导入时报错LoaclDate,closed,2,2025-10-15T01:19:21Z,2025-10-15T06:49:22Z,2025-10-15T01:24:27Z,liaoyg123,bug
jeecgboot/JeecgBoot,3513559838,8978,AI应用管理，点击演示，没有反应，卡死,closed,10,2025-10-14T11:49:10Z,2025-10-15T01:58:16Z,2025-10-15T01:48:18Z,yangfeng005,bug
jeecgboot/JeecgBoot,3513206988,8977,使用代码生成器生成代码报错,closed,11,2025-10-14T09:56:06Z,2025-10-15T01:53:40Z,2025-10-15T01:29:23Z,zwy66666,bug
jeecgboot/JeecgBoot,3512794043,8976,FormSchema配置componentProps为函数返回valueType: 'Array‘时在useListPage 的查询接口中仍旧是获取到类型为string,open,3,2025-10-14T07:56:13Z,2025-10-15T02:29:02Z,,rongrong-wan,bug
jeecgboot/JeecgBoot,3512754669,8975,Microsoft SQL Server 2008支持问题,closed,3,2025-10-14T07:43:00Z,2025-10-14T08:57:43Z,2025-10-14T08:57:43Z,rechardNerd,bug
jeecgboot/JeecgBoot,3512572051,8974,BasicTable footer插槽数据错误以及无法固定在分页器上边,open,2,2025-10-14T06:40:01Z,2025-10-15T02:57:16Z,,mjlxiaoma,bug
jeecgboot/JeecgBoot,3512131380,8973,master分支 内出现 对象存在但是无法被识别的情况,closed,3,2025-10-14T02:35:22Z,2025-10-16T03:50:14Z,2025-10-16T03:50:14Z,cym1231,bug
jeecgboot/JeecgBoot,3512099879,8972,通义千问的多模态模型如：qwen3-vl-plus 保存激活报错。,closed,5,2025-10-14T02:15:27Z,2025-10-14T14:32:35Z,2025-10-14T14:32:35Z,Linkai-W,bug
jeecgboot/JeecgBoot,3512071301,8971,大屏页面自己配置也不能正常显示,closed,2,2025-10-14T01:57:24Z,2025-10-14T09:02:13Z,2025-10-14T08:57:17Z,liujunsz,
jeecgboot/JeecgBoot,3512027692,8970,ai模型配置选用通义千问向量模型baseurl拼接不正确,closed,3,2025-10-14T01:33:52Z,2025-10-24T08:38:05Z,2025-10-24T08:38:05Z,nullPointer0123,bug
jeecgboot/JeecgBoot,3511959845,8969,Minio上传文件失败,closed,2,2025-10-14T00:55:16Z,2025-10-15T00:41:23Z,2025-10-15T00:41:23Z,zongxing719,bug
jeecgboot/JeecgBoot,3511947139,8968,"AI模型激活时, 智谱/千问报错UnsupportedOperationException",closed,2,2025-10-14T00:46:49Z,2025-10-14T02:04:47Z,2025-10-14T01:24:43Z,Linkai-W,bug
jeecgboot/JeecgBoot,3509557768,8967,菜单显示逻辑请教,closed,1,2025-10-13T11:01:18Z,2025-10-15T02:05:08Z,2025-10-15T02:05:08Z,fireinjava,bug
jeecgboot/JeecgBoot,3509328823,8966,jeecgboot 3.8.3 关于projectSetting.ts菜单配置默认想配置成顶部混合导航模式不生效,closed,2,2025-10-13T10:05:50Z,2025-10-25T10:38:16Z,2025-10-15T02:45:10Z,robert88-luo,bug
jeecgboot/JeecgBoot,3509235919,8965,j-vxe-table中type:JVxeTypes.selectDictSearch不生效,closed,1,2025-10-13T09:39:22Z,2025-10-15T02:12:03Z,2025-10-15T02:12:02Z,Stefanxx,help wanted
jeecgboot/JeecgBoot,3509143232,8964,大屏页面无复制SQL的按钮,closed,1,2025-10-13T09:11:40Z,2025-10-13T09:13:38Z,2025-10-13T09:13:38Z,liujunsz,
jeecgboot/JeecgBoot,3509087965,8963,不知道怎么发布大屏页面,closed,1,2025-10-13T08:56:03Z,2025-10-13T09:03:59Z,2025-10-13T09:03:59Z,liujunsz,
jeecgboot/JeecgBoot,3509042134,8962,分库分表错误,closed,7,2025-10-13T08:42:45Z,2025-10-14T08:55:10Z,2025-10-14T08:55:10Z,wsygt,bug
jeecgboot/JeecgBoot,3508996865,8961,最新版的不能用流程设计,closed,0,2025-10-13T08:28:33Z,2025-10-13T08:29:48Z,2025-10-13T08:29:48Z,lizhu-sudo,
jeecgboot/JeecgBoot,3508991178,8960,如何实现online表单页面列表不初始化数据,closed,1,2025-10-13T08:27:02Z,2025-10-13T08:30:05Z,2025-10-13T08:29:54Z,fengyun88,bug
jeecgboot/JeecgBoot,3508862886,8959,pnpm install后启动项目报错,closed,5,2025-10-13T07:43:07Z,2025-10-13T08:21:42Z,2025-10-13T07:52:33Z,mjlxiaoma,bug
jeecgboot/JeecgBoot,3508291560,8958,一般用户密码修改权限设定问题,closed,4,2025-10-13T03:02:02Z,2025-10-13T07:33:52Z,2025-10-13T03:45:55Z,jnjzzjd,bug
jeecgboot/JeecgBoot,3508094615,8957,定时任务统一,open,0,2025-10-13T00:29:20Z,2025-10-13T00:29:20Z,,sshling,help wanted
jeecgboot/JeecgBoot,3507381451,8956,手机钉钉免登，无法重定向地址 /pages/login/login?tenantId=租戶id,closed,2,2025-10-12T15:30:26Z,2025-10-21T10:09:24Z,2025-10-21T03:38:26Z,park96323,bug
jeecgboot/JeecgBoot,3505590267,8955,"AI模型激活时, 智谱/千问报错UnsupportedOperationException",closed,1,2025-10-11T10:24:26Z,2025-10-13T02:59:50Z,2025-10-13T02:59:50Z,MLeft,
jeecgboot/JeecgBoot,3505590266,8954,"AI模型激活时, 智谱/千问报错UnsupportedOperationException",closed,1,2025-10-11T10:24:26Z,2025-10-13T05:35:28Z,2025-10-11T10:25:06Z,MLeft,
jeecgboot/JeecgBoot,3505280202,8953,关于sys_user  org_code的疑问。,closed,1,2025-10-11T06:20:00Z,2025-10-11T10:38:03Z,2025-10-11T10:38:03Z,lanbohello163,help wanted
jeecgboot/JeecgBoot,3505138115,8952,导入功能，多单元格多图片无法导入第二张,closed,5,2025-10-11T04:10:21Z,2025-10-13T03:31:33Z,2025-10-13T03:31:33Z,zhangyicai,bug
jeecgboot/JeecgBoot,3505100362,8951,从jeecgboot 3.8.2 升级到 3.8.3 在线表单java增强功能报错,closed,17,2025-10-11T03:23:19Z,2025-10-29T11:13:58Z,2025-10-11T10:34:18Z,robert88-luo,bug
jeecgboot/JeecgBoot,3504897220,8950,jeecgboot3.4.3后台，能不能同时支持vue2和vue3两个前端使用,closed,4,2025-10-11T00:43:53Z,2025-10-11T01:29:47Z,2025-10-11T00:47:08Z,liaoyg123,
jeecgboot/JeecgBoot,3504857607,8949,jeecgboot框架下怎样才能做到AI聊天时联网查询？还有如何做到语音识别？,closed,3,2025-10-11T00:24:23Z,2025-10-11T10:34:55Z,2025-10-11T03:38:16Z,MiaoHui999,help wanted
jeecgboot/JeecgBoot,3502116661,8948,maven私服上包缺失了吗，前几天还能下载到，今天突然不行了,closed,1,2025-10-10T09:41:57Z,2025-10-10T09:57:14Z,2025-10-10T09:57:14Z,Gelilory,bug
jeecgboot/JeecgBoot,3501886502,8947,online表单开发里根据角色设置了部分字段权限(不能查看编辑)，在做表单编辑的时候，会把限制字段变为空,closed,2,2025-10-10T08:25:37Z,2025-10-24T08:30:00Z,2025-10-24T08:30:00Z,mtty123456,bug
jeecgboot/JeecgBoot,3501875168,8946,部门角色无法配置首页,closed,1,2025-10-10T08:21:49Z,2025-10-10T08:40:30Z,2025-10-10T08:40:30Z,tongyurui,help wanted
jeecgboot/JeecgBoot,3501869683,8945,日志注解@AutoLog 多文件上传时报错,closed,1,2025-10-10T08:20:06Z,2025-10-10T10:21:37Z,2025-10-10T10:21:37Z,tongyurui,bug
jeecgboot/JeecgBoot,3501709432,8944,jeecgboot master分支jdk1.8无法启动,closed,2,2025-10-10T07:28:49Z,2025-10-10T08:12:54Z,2025-10-10T08:12:54Z,RailyMay,bug
jeecgboot/JeecgBoot,3501646142,8943,pom中有一些不用的包可以去除掉,closed,1,2025-10-10T07:05:24Z,2025-10-10T07:45:00Z,2025-10-10T07:45:00Z,zongxing719,bug
jeecgboot/JeecgBoot,3501228732,8942,使用积木报表的AI生成SQL语句时，点击“生成SQL”后一直显示在选择合适的库表，卡住不动了。,closed,3,2025-10-10T03:25:10Z,2025-10-17T08:57:03Z,2025-10-17T08:57:03Z,MiaoHui999,bug
