repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
NationalSecurityAgency/ghidra,2931324249,8581,closed,Fix typos in the contributor's guide and readme,burninrubber0,2025-10-20T22:05:17Z,2025-10-29T14:28:48Z,2025-10-27T14:11:33Z,2025-10-27T14:11:33Z,,,
NationalSecurityAgency/ghidra,2947175545,8591,closed,refactor(pyghidra_launcher): Use importlib.metadata for get_package_version,jhq223,2025-10-25T10:25:24Z,2025-10-29T12:40:11Z,2025-10-29T12:40:11Z,2025-10-29T12:40:11Z,,,
NationalSecurityAgency/ghidra,2926101169,8575,closed,Correct winsock.h headers in CreateExampleGDTArchiveScript.java,xiaoyinl,2025-10-18T03:07:58Z,2025-10-29T11:02:57Z,2025-10-29T11:02:57Z,2025-10-29T11:02:57Z,,,
NationalSecurityAgency/ghidra,2942397414,8588,closed,Fix spelling and grammar mistakes in the manual index documentation,cyrozap,2025-10-23T22:42:58Z,2025-10-27T14:05:58Z,2025-10-27T14:05:58Z,2025-10-27T14:05:57Z,,,
NationalSecurityAgency/ghidra,2608992837,8277,closed,Fix Infinite Loops in `PtrSubUndo` Rule ,pr0me,2025-06-21T12:21:26Z,2025-10-20T07:53:41Z,2025-10-20T07:53:41Z,,,,
NationalSecurityAgency/ghidra,872338314,4055,closed,Add MC6800 processor specs.,sigurasg,2022-03-05T21:35:24Z,2025-10-12T16:33:27Z,2025-10-12T16:33:27Z,,,,
NationalSecurityAgency/ghidra,2635315446,8317,closed,"Fixed OF setting upon shr Reg, 1",ghost,2025-07-02T12:32:55Z,2025-10-12T01:30:10Z,2025-10-12T01:30:10Z,,,,
NationalSecurityAgency/ghidra,2432492306,7972,closed,Add eBPF instruction CALLX for indirect calls,niooss-ledger,2025-04-01T19:59:25Z,2025-10-03T15:17:03Z,2025-10-03T09:05:24Z,2025-10-03T09:05:26Z,,,
NationalSecurityAgency/ghidra,1158798000,4812,closed,Introduce operand offset (C++ and Java),kkaempf,2022-12-11T08:43:31Z,2025-10-03T15:08:45Z,2025-10-03T15:08:44Z,,,,
NationalSecurityAgency/ghidra,2714565696,8406,closed,MIPS: Add mips16e2 instructions,CUB3D,2025-08-02T00:45:05Z,2025-10-03T09:05:26Z,2025-10-03T09:05:25Z,2025-10-03T09:05:26Z,,,
NationalSecurityAgency/ghidra,492968816,2305,closed,Support preview versions of Visual Studio again,Morilli,2020-09-25T10:03:39Z,2025-09-25T13:58:38Z,2021-05-24T11:42:34Z,,,,
NationalSecurityAgency/ghidra,2733505127,8423,closed,fix(doc): Program names in README,inferenceus,2025-08-10T12:34:01Z,2025-09-21T19:28:54Z,2025-08-13T10:10:44Z,2025-08-13T10:10:44Z,,,
NationalSecurityAgency/ghidra,659836554,3094,closed,Fix access violation on unicode string management,citronneur,2021-06-02T08:01:34Z,2025-09-17T13:41:42Z,2025-09-17T13:41:42Z,,,,
NationalSecurityAgency/ghidra,1493776123,5718,closed,Update avr32a_instruction_flow.sinc,srichmo1,2023-08-29T13:27:05Z,2025-09-17T13:41:20Z,2025-09-17T13:41:20Z,,,,
NationalSecurityAgency/ghidra,2169809273,7170,closed,Processors: Rename TriCore Siemens to Infineon,gemesa,2024-11-08T14:43:29Z,2025-09-17T13:41:19Z,2025-09-17T13:41:19Z,,,,
NationalSecurityAgency/ghidra,836642647,3953,closed,Decompiler: propagate boolean to IF and ELSE blocks,bogdiuk,2022-01-31T22:41:49Z,2025-09-16T18:00:15Z,2025-09-16T16:39:22Z,,,,
NationalSecurityAgency/ghidra,841088496,3967,closed,Fix UBSAN errors in decompiler,tetsuo-cpp,2022-02-06T15:07:03Z,2025-09-16T15:15:50Z,2025-09-16T15:15:50Z,,,,
NationalSecurityAgency/ghidra,2788519455,8483,closed,BSim: fix malformed arguments to ./configure on macOS,rjooske,2025-09-01T05:14:42Z,2025-09-15T09:14:56Z,2025-09-15T09:14:55Z,2025-09-15T09:14:55Z,,,
NationalSecurityAgency/ghidra,700939321,3300,closed,Corrected the first pair type inserted into recs,astrelsky,2021-08-01T16:14:17Z,2025-09-15T07:51:59Z,2025-09-14T21:27:35Z,,,,
NationalSecurityAgency/ghidra,2747322776,8440,closed,Fix off-by-one in ElfHeader.getSectionLoadHeaderContaining,LucaPalumbo,2025-08-14T20:39:35Z,2025-09-11T12:58:34Z,2025-09-11T12:58:34Z,,,,
NationalSecurityAgency/ghidra,2155971909,7130,closed,File chooser parent hotkey,hippietrail,2024-10-31T10:29:45Z,2025-09-11T12:58:32Z,2025-09-11T12:58:32Z,,,,
NationalSecurityAgency/ghidra,2793393422,8488,closed,Fix `java.awt.headless=true` inconsistently not being set in some bash scripts,rjooske,2025-09-02T17:04:30Z,2025-09-03T14:27:46Z,2025-09-03T14:26:20Z,2025-09-03T14:26:20Z,,,
NationalSecurityAgency/ghidra,2259234417,7346,closed,Concise creation of simple DynamicTableColumns,fmagin,2025-01-03T13:08:40Z,2025-09-03T14:26:20Z,2025-09-03T14:26:19Z,,,,
NationalSecurityAgency/ghidra,2708435967,8400,closed,"Don't rewrite SBORROW(0, x) => 0",andrewsoutar,2025-07-30T21:35:50Z,2025-08-27T13:14:18Z,2025-08-27T13:14:17Z,,,,
NationalSecurityAgency/ghidra,2466903017,8024,closed,Fixes VxWorksSymTab_Finder.java edge case,bdemick,2025-04-17T20:40:30Z,2025-08-22T18:15:45Z,2025-04-21T10:22:05Z,2025-04-21T10:22:05Z,,,
NationalSecurityAgency/ghidra,2763155327,8457,closed,Fix: TaintAnalysis query use chosen file if none set in tool options,technologeli,2025-08-21T14:12:51Z,2025-08-22T17:37:45Z,2025-08-22T17:37:44Z,2025-08-22T17:37:44Z,,,
NationalSecurityAgency/ghidra,2704247544,8394,closed,"Fix ANL Areg,Data for 80251 in source mode",RibShark,2025-07-29T14:00:44Z,2025-08-22T17:37:44Z,2025-08-22T17:37:44Z,2025-08-22T17:37:44Z,,,
NationalSecurityAgency/ghidra,2704243956,8393,closed,"Fix 80251 ""ANL Rm,#data"" showing as ""ADD""",RibShark,2025-07-29T13:59:51Z,2025-08-22T17:37:44Z,2025-08-22T17:37:44Z,2025-08-22T17:37:44Z,,,
NationalSecurityAgency/ghidra,2758354754,8450,closed,Fixed ida plugin working in IDA 9.x,ZERO-A-ONE,2025-08-20T04:11:41Z,2025-08-21T10:10:08Z,2025-08-21T10:09:44Z,2025-08-21T10:09:45Z,,,
NationalSecurityAgency/ghidra,2756869420,8448,closed,Fixed idaxml working in IDA 9.x,ZERO-A-ONE,2025-08-19T15:33:24Z,2025-08-20T03:43:36Z,2025-08-20T03:43:36Z,,,,
NationalSecurityAgency/ghidra,2338030513,7512,closed,Fixed bug in decompiler when trying to rename a label to empty,sethcg,2025-02-16T03:52:01Z,2025-08-18T09:42:01Z,2025-08-15T19:25:22Z,,,,
NationalSecurityAgency/ghidra,2718692407,8408,closed,[BitmapResource] Fix channel swaped and black icons,widberg,2025-08-04T17:20:44Z,2025-08-07T12:44:19Z,2025-08-07T12:44:19Z,2025-08-07T12:44:19Z,,,
NationalSecurityAgency/ghidra,2690127018,8373,closed,Fix #8362: Set correct WM_CLASS for PyGhidra (ghidra-Ghidra window name),killerdevildog,2025-07-23T21:41:08Z,2025-08-07T10:02:42Z,2025-08-07T05:45:07Z,,,,
NationalSecurityAgency/ghidra,2690087870,8372,closed,Fix #7916: Optimize AddressRangeObjectMap for analysis performance,killerdevildog,2025-07-23T21:18:28Z,2025-08-07T08:42:13Z,2025-08-07T05:44:53Z,,,,
NationalSecurityAgency/ghidra,1896544856,6608,closed,AArch32: vld1 had incorrect post indexed increment,Sleigh-InSPECtor,2024-05-30T17:57:31Z,2025-08-04T13:44:12Z,2025-08-04T13:44:12Z,,,,
NationalSecurityAgency/ghidra,2712254109,8404,closed,BSim: Remove extra characters in CommandLineReference.html,gemesa,2025-08-01T07:07:37Z,2025-08-02T07:13:07Z,2025-08-01T16:57:18Z,2025-08-01T16:57:18Z,,,
NationalSecurityAgency/ghidra,2439598028,7982,closed,Add eBPF ISA v4 instructions,niooss-ledger,2025-04-04T13:49:29Z,2025-07-30T14:19:20Z,2025-07-29T13:32:40Z,,,,
NationalSecurityAgency/ghidra,2402152988,7929,closed,Fix eBPF CALL operand decoding,niooss-ledger,2025-03-18T21:29:24Z,2025-07-30T14:16:12Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,,,
NationalSecurityAgency/ghidra,2440321703,7985,closed,Fix the semantics of eBPF byte swap instructions,niooss-ledger,2025-04-04T20:02:50Z,2025-07-30T14:14:12Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,,,
NationalSecurityAgency/ghidra,2437322729,7979,closed,Fix eBPF zero-extend load instructions,niooss-ledger,2025-04-03T14:54:44Z,2025-07-30T14:12:41Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,,,
NationalSecurityAgency/ghidra,2705790371,8397,closed,11.4,garyttierney,2025-07-30T03:15:18Z,2025-07-30T03:15:59Z,2025-07-30T03:15:39Z,,,,
NationalSecurityAgency/ghidra,2694025218,8375,closed,Use L as a default shortcut for renaming symbols in symbol tree,neuromancer,2025-07-25T06:40:02Z,2025-07-29T18:16:08Z,2025-07-29T13:32:36Z,,,,
NationalSecurityAgency/ghidra,2128970562,7065,closed,68HC05: Fix #7064 - incorrect handling of X-indexed JMP and JSR,philpem,2024-10-16T23:11:28Z,2025-07-29T13:32:37Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,,,
NationalSecurityAgency/ghidra,2539690707,8192,closed,SuperH4: fix FSCA opcode destination location and FPU registers ABI order,p1pkin,2025-05-23T12:11:41Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,2025-07-29T13:32:36Z,,,
NationalSecurityAgency/ghidra,2605554027,8275,closed,Fix NullPointerException in checkForDevelopmentMode,negasora,2025-06-19T19:14:04Z,2025-07-25T21:19:15Z,2025-06-23T10:04:41Z,,,,
NationalSecurityAgency/ghidra,1182658222,4864,closed,Fixed renaming global through offcut reference,astrelsky,2023-01-02T14:18:32Z,2025-07-25T13:27:30Z,2025-07-25T13:27:30Z,,,,
NationalSecurityAgency/ghidra,2629437164,8309,closed,Less debugging for more speed,plucia-mitre,2025-06-30T16:06:53Z,2025-07-07T10:48:04Z,2025-07-07T10:48:04Z,,,,
NationalSecurityAgency/ghidra,2532168332,8176,closed,BSim: Add getmetadata subcommand to bsim,gemesa,2025-05-20T17:16:30Z,2025-07-03T11:25:52Z,2025-07-03T10:00:55Z,,,,
NationalSecurityAgency/ghidra,2630335967,8311,closed,Zero extend XCHG on Reg32,ghost,2025-06-30T22:44:15Z,2025-07-02T00:11:46Z,2025-07-02T00:11:46Z,,,,
NationalSecurityAgency/ghidra,1818368564,6410,closed,PCode: fix bug in pcode's SequenceNumber.java,noobone123,2024-04-11T16:47:06Z,2025-06-28T08:47:38Z,2025-06-28T08:47:38Z,,,,
NationalSecurityAgency/ghidra,1228935398,4957,closed,Fix Frida debugger agent executableJar build,cyberkaida,2023-02-04T03:34:15Z,2025-06-28T06:27:01Z,2023-04-22T01:52:52Z,,,,
NationalSecurityAgency/ghidra,2605493106,8274,closed,Fix gradle wrapper name in README.md,sepalani,2025-06-19T18:32:24Z,2025-06-23T14:20:02Z,2025-06-23T09:58:25Z,2025-06-23T09:58:25Z,,,
NationalSecurityAgency/ghidra,2599346597,8265,closed,Fix PE Import Table Parsing EOF Error in Truncated/Packed Files,chf0x,2025-06-17T16:27:13Z,2025-06-23T10:10:53Z,2025-06-23T10:10:39Z,,,,
NationalSecurityAgency/ghidra,2601041762,8268,closed,GP-5762 increased AutoVT duplicate inst match correlator min function,GooseWithAKnife,2025-06-18T09:04:44Z,2025-06-18T09:04:52Z,2025-06-18T09:04:52Z,,,,
NationalSecurityAgency/ghidra,1325158376,5256,closed,instruction decoding for armv8 stack pointer limit registers,befoulad,2023-04-24T10:28:20Z,2025-06-17T17:57:44Z,2025-05-09T14:11:28Z,,,,
NationalSecurityAgency/ghidra,1935722917,6667,closed,add support for Arm stack limit register instructions,PennRobotics,2024-06-24T14:43:18Z,2025-06-17T17:57:29Z,2025-01-16T12:00:54Z,,,,
NationalSecurityAgency/ghidra,2584099923,8251,closed,Decompiler: Add .xml entension when user did not specify for DebugDec…,xndcn,2025-06-11T12:32:44Z,2025-06-17T10:16:06Z,2025-06-17T10:16:05Z,2025-06-17T10:16:05Z,,,
NationalSecurityAgency/ghidra,2505789729,8123,closed,BSim: Add C17 standard flag to make-postgres.sh,gemesa,2025-05-08T01:04:32Z,2025-06-13T11:07:28Z,2025-06-13T10:50:14Z,,,,
NationalSecurityAgency/ghidra,2555954293,8215,closed,Fix RISC-V minu and max instructions' definitions,vporok01,2025-05-31T00:57:32Z,2025-06-12T05:47:17Z,2025-06-11T16:08:28Z,,,,
NationalSecurityAgency/ghidra,2574394153,8240,closed,VxWorksSymTabFinder.java Improvements,bdemick,2025-06-06T20:20:56Z,2025-06-11T14:00:25Z,2025-06-11T14:00:24Z,2025-06-11T14:00:24Z,,,
NationalSecurityAgency/ghidra,2576808819,8246,closed,prevent stack overflow when creating default labels for pointers,astrelsky,2025-06-08T16:19:45Z,2025-06-09T18:34:24Z,2025-06-09T17:54:15Z,,,,
NationalSecurityAgency/ghidra,2572672632,8238,closed,Fixing analysis fail with function entryPoint may not be created on defined data,chf0x,2025-06-06T07:11:33Z,2025-06-06T19:14:26Z,2025-06-06T18:31:26Z,,,,
NationalSecurityAgency/ghidra,2564510817,8227,closed,Debugger/UI: Handle an unhandled exception when not setting the image path the first time,FrankvdStam,2025-06-03T16:05:39Z,2025-06-05T13:36:27Z,2025-06-05T13:36:27Z,,,,
NationalSecurityAgency/ghidra,979951665,4378,closed,eBPF processor support,Nalen98,2022-06-27T11:42:57Z,2025-06-03T12:26:46Z,2023-05-02T11:22:48Z,2023-05-02T11:22:48Z,,,
NationalSecurityAgency/ghidra,2555250374,8213,closed,Fix magic bytes to resolve Golang (v1.20+) functions.,imladenov51,2025-05-30T17:18:48Z,2025-06-02T10:28:31Z,2025-06-02T10:28:15Z,,,,
NationalSecurityAgency/ghidra,2541054022,8193,closed,"Fixing typo in RenameStructureFieldTask ""created by"" comment",sollyucko,2025-05-23T22:56:10Z,2025-05-28T12:17:57Z,2025-05-28T12:17:57Z,2025-05-28T12:17:57Z,,,
NationalSecurityAgency/ghidra,2525419089,8162,closed,Modernize system executable detection across components,emmanuel-ferdman,2025-05-16T22:40:54Z,2025-05-23T10:14:29Z,2025-05-22T18:28:25Z,,,,
NationalSecurityAgency/ghidra,2530096603,8172,closed,Fix getDestinationFunctions,travislibre,2025-05-20T01:41:39Z,2025-05-21T15:48:02Z,2025-05-21T15:47:52Z,,,,
NationalSecurityAgency/ghidra,2518847625,8151,closed,x86: Fix missing zero-extension in CVTTSD2SI,jmillikin,2025-05-14T10:11:49Z,2025-05-15T17:43:43Z,2025-05-15T17:43:43Z,2025-05-15T17:43:42Z,,,
NationalSecurityAgency/ghidra,2420188639,7953,closed,"Decompiler: Enable optimization for C++ source files",ADonut,2025-03-26T18:16:06Z,2025-05-09T14:11:31Z,2025-05-09T14:11:30Z,,,,
NationalSecurityAgency/ghidra,1895443244,6602,closed,x86: PUSH FS/GS long mode improvements.,Sleigh-InSPECtor,2024-05-30T08:19:38Z,2025-05-09T14:11:30Z,2025-05-09T14:11:30Z,,,,
NationalSecurityAgency/ghidra,2504022915,8117,closed,Fixing LLDB argument passing bug (#8115) in debug launcher,YuriNek0,2025-05-07T10:48:55Z,2025-05-07T15:09:33Z,2025-05-07T15:09:33Z,2025-05-07T15:09:33Z,,,
NationalSecurityAgency/ghidra,2499154110,8108,closed,GhidraProject: fix root path in docs,gemesa,2025-05-05T15:57:21Z,2025-05-05T16:20:00Z,2025-05-05T16:15:45Z,,,,
NationalSecurityAgency/ghidra,2482745718,8043,closed,cleanup: updated references to InstallationGuide.html with GettingStarted.md,adriankentsato,2025-04-26T01:57:58Z,2025-04-29T14:01:25Z,2025-04-29T14:01:24Z,2025-04-29T14:01:24Z,,,
NationalSecurityAgency/ghidra,1782433326,6335,closed,6x09 - Fix logicalShiftRight,depili,2024-03-20T15:54:15Z,2025-04-28T11:37:41Z,2025-04-27T16:21:47Z,,,,
NationalSecurityAgency/ghidra,2411676811,7941,closed,feat: Improve Rust detection via symbol analysis and rodata scan,fardinzamann,2025-03-23T02:52:01Z,2025-04-23T15:44:23Z,2025-04-23T15:44:23Z,,,,
NationalSecurityAgency/ghidra,2469666936,8025,closed,Fix duplicated word-related typos,LukeSerne,2025-04-19T16:15:40Z,2025-04-21T13:31:02Z,2025-04-21T12:06:50Z,2025-04-21T12:06:50Z,,,
NationalSecurityAgency/ghidra,2454831342,8003,closed,BUG: Fixed single byte fixup by moving externals to CODE start,peterbelm,2025-04-11T21:44:39Z,2025-04-20T18:12:25Z,2025-04-20T18:12:25Z,,,,
NationalSecurityAgency/ghidra,1782438724,6336,closed,6x09.sinc: Fix COM instruction,depili,2024-03-20T15:57:08Z,2025-04-13T12:29:00Z,2025-04-13T12:28:59Z,2025-04-13T12:29:00Z,,,
NationalSecurityAgency/ghidra,2455625225,8006,closed,Add support for Intel 8008 processor,spirosekulovski,2025-04-12T21:27:34Z,2025-04-12T21:29:55Z,2025-04-12T21:29:55Z,,,,
NationalSecurityAgency/ghidra,2443104070,7989,closed,Debugger: fix description of `step_into`,gemesa,2025-04-07T11:59:52Z,2025-04-08T14:42:46Z,2025-04-08T14:42:45Z,2025-04-08T14:42:45Z,,,
NationalSecurityAgency/ghidra,2408221911,7937,closed,Do not default to global so easily for label namespace,mumbel,2025-03-20T23:46:24Z,2025-04-07T13:52:37Z,2025-04-07T10:14:15Z,,,,
NationalSecurityAgency/ghidra,2420721239,7954,closed,Bump dependencies to address CVEs,egibs,2025-03-27T00:28:13Z,2025-04-04T18:36:27Z,2025-04-04T18:36:27Z,,,,
NationalSecurityAgency/ghidra,1032659842,4543,closed,No 10 hour builds,astrelsky,2022-08-22T11:00:02Z,2025-04-04T10:55:03Z,2022-08-22T13:53:03Z,,,,
NationalSecurityAgency/ghidra,2081550872,6935,closed,Added sourcing details for PyDev 9.3.0 as of Sept 2024,subreption-research,2024-09-19T17:12:16Z,2025-04-02T18:28:45Z,2025-04-02T18:28:45Z,,,,
NationalSecurityAgency/ghidra,2399410818,7926,closed,feat: detect Rust binaries in ELF loader using symbol patterns,fardinzamann,2025-03-18T01:08:35Z,2025-04-02T18:25:25Z,2025-04-02T18:25:04Z,,,,
NationalSecurityAgency/ghidra,2422438036,7957,closed,Add OMF-51 Library Filesystem,peterbelm,2025-03-27T13:07:03Z,2025-04-02T17:51:09Z,2025-04-02T17:39:58Z,2025-04-02T17:39:58Z,,,
NationalSecurityAgency/ghidra,2432857893,7974,closed,Fix error when importing PE executable when NumberOfRvaAndSizes = 11.,CallStackIO,2025-04-02T00:50:49Z,2025-04-02T17:39:58Z,2025-04-02T17:39:58Z,,,,
NationalSecurityAgency/ghidra,2395706524,7914,closed,OMF-51 Loader Fixups & Public/External Refs implementation,peterbelm,2025-03-15T20:44:19Z,2025-03-27T17:23:42Z,2025-03-27T17:23:41Z,2025-03-27T17:23:41Z,,,
NationalSecurityAgency/ghidra,2379897563,7885,closed,Detect more rust binaries,cyberkaida,2025-03-08T03:40:00Z,2025-03-21T10:13:36Z,2025-03-21T10:13:35Z,2025-03-21T10:13:35Z,,,
NationalSecurityAgency/ghidra,1245770811,5004,closed,Feature: UNIX A.out Loader,colinbourassa,2023-02-17T22:20:08Z,2025-03-20T16:04:42Z,2025-03-20T16:04:41Z,2025-03-20T16:04:41Z,,,
NationalSecurityAgency/ghidra,370492087,1509,closed,Add support for NEC uPD78 series microcontrollers,depili,2020-02-03T19:50:59Z,2025-03-20T10:52:21Z,2025-03-20T07:56:12Z,,,,
NationalSecurityAgency/ghidra,1973933379,6732,closed,Duplicate wording,just-an-engineer,2024-07-17T14:59:55Z,2025-03-18T15:13:54Z,2025-03-18T15:13:54Z,,,,
NationalSecurityAgency/ghidra,2382674675,7894,closed,Major typo and grammar fixes,jasonkanavas1,2025-03-10T15:49:06Z,2025-03-13T15:33:31Z,2025-03-13T15:33:05Z,,,,
NationalSecurityAgency/ghidra,2310864268,7436,closed,(Mach-O) Start using `long` for symbol table offsets instead of `int`.,nmggithub,2025-02-01T17:42:15Z,2025-03-13T15:11:54Z,2025-02-12T11:27:11Z,2025-02-12T11:27:11Z,,,
NationalSecurityAgency/ghidra,1716399066,6204,closed,PIC: Fix PIC16F description,antoniovazquezblanco,2024-02-07T20:39:12Z,2025-03-07T17:06:11Z,2025-03-07T16:34:33Z,2025-03-07T16:34:33Z,,,
NationalSecurityAgency/ghidra,1874760866,6531,closed,"AArch32: vsel ""gt"" condition missing NG & OV flag equality check",Sleigh-InSPECtor,2024-05-17T05:24:01Z,2025-03-07T16:34:34Z,2025-03-07T16:34:34Z,,,,
NationalSecurityAgency/ghidra,2364588917,7868,closed,Fix tricore relocation 24REL handling,Lehona,2025-02-28T13:37:17Z,2025-03-05T15:05:13Z,2025-03-05T15:05:12Z,,,,
NationalSecurityAgency/ghidra,2370872406,7875,closed,Memory Map: ensure columns exist on initialization,XeR,2025-03-04T13:42:04Z,2025-03-05T15:05:10Z,2025-03-05T15:05:09Z,2025-03-05T15:05:09Z,,,
NationalSecurityAgency/ghidra,2371488397,7877,closed,DyldChainedImport: fix offset mask bug,bmacphee,2025-03-04T17:43:14Z,2025-03-05T15:05:10Z,2025-03-05T15:05:09Z,2025-03-05T15:05:09Z,,,
